portfolio_id,client_id,portfolio_name,portfolio_type,base_currency,risk_profile,initial_value,current_value,inception_date,status
P10001,C10001,Equity Growth Portfolio,EQUITY_GROWTH,USD,HIGH,1634624.32,1578233.65,2025-01-20,ACTIVE
P10002,C10008,Income Portfolio,INCOME,GBP,LOW,760070.36,766991.84,2025-01-25,ACTIVE
P10003,C10015,Balanced Portfolio,BALANCED,EUR,MEDIUM,1867530.91,2070856.26,2025-01-30,ACTIVE
P10004,C10022,Index Portfolio,INDEX,INR,MEDIUM,2241230.96,2194448.72,2025-02-04,ACTIVE
P10005,C10029,Fixed Income Portfolio,FIXED_INCOME,CAD,LOW,1112612.37,1075401.48,2025-02-09,ACTIVE
P10006,C10036,Equity Growth Portfolio,EQUITY_GROWTH,SGD,HIGH,624731.14,669198.36,2025-02-14,ACTIVE
P10007,C10043,Income Portfolio,INCOME,USD,LOW,163686.33,164299.22,2025-02-19,ACTIVE
P10008,C10050,Balanced Portfolio,BALANCED,GBP,MEDIUM,1659722.65,1792313.12,2025-02-24,ACTIVE
P10009,C10007,Index Portfolio,INDEX,EUR,MEDIUM,629057.49,685445.23,2025-03-01,ACTIVE
P10010,C10014,Fixed Income Portfolio,FIXED_INCOME,INR,LOW,2042633.1,1963848.18,2025-03-06,ACTIVE
P10011,C10021,Equity Growth Portfolio,EQUITY_GROWTH,CAD,HIGH,2033966.2,2265005.78,2025-03-11,ACTIVE
P10012,C10028,Income Portfolio,INCOME,SGD,LOW,916601.24,911289.98,2025-03-16,ACTIVE
P10013,C10035,Balanced Portfolio,BALANCED,USD,MEDIUM,2397311.37,2478941.74,2025-03-21,ACTIVE
P10014,C10042,Index Portfolio,INDEX,GBP,MEDIUM,322590.02,316550.36,2025-03-26,ACTIVE
P10015,C10049,Fixed Income Portfolio,FIXED_INCOME,EUR,LOW,2133986.48,2332062.52,2025-03-31,ACTIVE
P10016,C10006,Equity Growth Portfolio,EQUITY_GROWTH,INR,HIGH,2037107.86,2282662.86,2025-04-05,ACTIVE
P10017,C10013,Income Portfolio,INCOME,CAD,LOW,1386947.42,1628394.81,2025-04-10,ACTIVE
P10018,C10020,Balanced Portfolio,BALANCED,SGD,MEDIUM,1008482.51,1090622.34,2025-04-15,ACTIVE
P10019,C10027,Index Portfolio,INDEX,USD,MEDIUM,2090571.19,2291421.45,2025-04-20,ACTIVE
P10020,C10034,Fixed Income Portfolio,FIXED_INCOME,GBP,LOW,2168096.56,2356758.84,2025-04-25,ACTIVE
P10021,C10041,Equity Growth Portfolio,EQUITY_GROWTH,EUR,HIGH,1790972.41,1737388.96,2025-04-30,ACTIVE
P10022,C10048,Income Portfolio,INCOME,INR,LOW,646955.86,662266.3,2025-05-05,ACTIVE
P10023,C10005,Balanced Portfolio,BALANCED,CAD,MEDIUM,291500.74,294769.63,2025-05-10,ACTIVE
P10024,C10012,Index Portfolio,INDEX,SGD,MEDIUM,342403.43,349646.7,2025-05-15,ACTIVE
P10025,C10019,Fixed Income Portfolio,FIXED_INCOME,USD,LOW,1625642.67,1691096.05,2025-05-20,ACTIVE
P10026,C10026,Equity Growth Portfolio,EQUITY_GROWTH,GBP,HIGH,988434.32,994455.41,2025-05-25,ACTIVE
P10027,C10033,Income Portfolio,INCOME,EUR,LOW,740746.77,863758.15,2025-05-30,ACTIVE
P10028,C10040,Balanced Portfolio,BALANCED,INR,MEDIUM,1655284.92,1810896.3,2025-06-04,ACTIVE
P10029,C10047,Index Portfolio,INDEX,CAD,MEDIUM,510732.76,572229.02,2025-06-09,ACTIVE
P10030,C10004,Fixed Income Portfolio,FIXED_INCOME,SGD,LOW,492165.99,513565.46,2025-06-14,ACTIVE
P10031,C10011,Equity Growth Portfolio,EQUITY_GROWTH,USD,HIGH,2474856.04,2724321.4,2025-06-19,ACTIVE
P10032,C10018,Income Portfolio,INCOME,GBP,LOW,1436679.39,1595597.87,2025-06-24,ACTIVE
P10033,C10025,Balanced Portfolio,BALANCED,EUR,MEDIUM,2122844.61,2400342.82,2025-06-29,ACTIVE
P10034,C10032,Index Portfolio,INDEX,INR,MEDIUM,649715.37,628315.08,2025-07-04,ACTIVE
P10035,C10039,Fixed Income Portfolio,FIXED_INCOME,CAD,LOW,857087.32,873288.84,2025-07-09,ACTIVE
P10036,C10046,Equity Growth Portfolio,EQUITY_GROWTH,SGD,HIGH,606358.82,707887.62,2025-07-14,ACTIVE
P10037,C10003,Income Portfolio,INCOME,USD,LOW,2203282.3,2267682.33,2025-07-19,ACTIVE
P10038,C10010,Balanced Portfolio,BALANCED,GBP,MEDIUM,1673052.8,1751751.56,2025-07-24,ACTIVE
P10039,C10017,Index Portfolio,INDEX,EUR,MEDIUM,2294914.22,2434783.29,2025-07-29,ACTIVE
P10040,C10024,Fixed Income Portfolio,FIXED_INCOME,INR,LOW,735712.4,746202.23,2025-08-03,ACTIVE
P10041,C10031,Equity Growth Portfolio,EQUITY_GROWTH,CAD,HIGH,1447283.52,1473049.73,2025-08-08,ACTIVE
P10042,C10038,Income Portfolio,INCOME,SGD,LOW,1503006.38,1739761.5,2025-08-13,ACTIVE
P10043,C10045,Balanced Portfolio,BALANCED,USD,MEDIUM,1058561.21,1067294.94,2025-08-18,ACTIVE
P10044,C10002,Index Portfolio,INDEX,GBP,MEDIUM,2494090.26,2673903.65,2025-08-23,ACTIVE
P10045,C10009,Fixed Income Portfolio,FIXED_INCOME,EUR,LOW,318182.59,308753.44,2025-08-28,ACTIVE
P10046,C10016,Equity Growth Portfolio,EQUITY_GROWTH,INR,HIGH,363157.91,398761.23,2025-09-02,ACTIVE
P10047,C10023,Income Portfolio,INCOME,CAD,LOW,2000990.47,2106793.23,2025-09-07,ACTIVE
P10048,C10030,Balanced Portfolio,BALANCED,SGD,MEDIUM,252466.49,263563.97,2025-09-12,ACTIVE
P10049,C10037,Index Portfolio,INDEX,USD,MEDIUM,2490691.31,2680992.97,2025-09-17,ACTIVE
